'cause	k AH z
cattanach	k AE t AH n AE CH
catterson	k AE t ER s AH n
cattle	k AE t AH l
cattlemen(2)	k AE t AH l m IH n
cattolica	k AH t OW l IH k AH
catwalk(2)	k AE t w AO k
cauble	k AO b AH l
caughlin	k AO l IH n
caulfield	k AO l f IY l d
caulk	k AA k
caulking	k AO k IH NG
causal	k AO z AH l
causby	k AO z b IY
causeway(2)	k AO z w EY
caution(2)	k AO SH AH n
cautioning	k AO SH AH n IH NG
cautiously	k AO SH AH s l IY
cautiousness	k AO SH AH s n AH s
cavaco(2)	k AH v AA k OW
cavalcade	k AE v AH l k EY d
cavalier	k AE v AH l IH r
cavallaro	k AA v AA l AA r OW
cavalli	k AH v AE l IY
cavazos(2)	k AE v AH z OW s
caven	k EY v AH n
caver	k EY v ER
caviar's	k AE v IY AA r z
cavin	k AE v IH n
cavins	k AE v IH n z
cavness	k AE v n IH s
cavorting	k AH v AO r t IH NG
cawthorn	k AO TH ER n
cayton	k EY t AH n
caywood	k EY w UH d
cbs	s IY b IY EH s
ccd	s IY s IY d IY
cd	s IY d IY
cds	s IY d IY z
cea(2)	s IY AH
ceara	s IY r AH
cearley	s ER l IY
ceasar	s AH s AA r
cease	s IY s
ceasefires	s IY s f AY ER z
ceausescu's	CH AW CH EH s k j UW z
cebula	CH EH b UW l AH
cebulski	CH IH b AH l s k IY
cecin	s EH s IH n
ceco	s IY k OW
cedar-rapids(2)	s IY d ER AE p IH d z
ceded(2)	s IY d IH d
cederquist(2)	s IY d ER k w IH s t
cedillo	CH EH d IH l OW
ceding	s IY d IH NG
cedras	s EY d r AA s
cedras(2)	s EY d r AH s
cefalo	CH EH f AA l OW
ceiling	s IY l IH NG
ceja	s EY j AH
cejka	CH EY k AH
celano	CH EH l AA n OW
celeb	s AH l EH b
celebrated	s EH l AH b r EY t IH d
celebration	s EH l AH b r EY SH AH n
celebrities	s AH l EH b r IH t IY z
celibate	s EH l IH b AH t
cell's	s EH l z
cellmark	s EH l m AA r k
cellophane	s EH l AH f EY n
cellstar	s EH l s t AA r
celo(3)	s IY IY EH l OW
cement(2)	s IH m EH n t
cementing	s IH m EH n t IH NG
cemetery(2)	s EH m IH t EH r IY
censored	s EH n s ER d
censure	s EH n SH ER
centanni	CH EH n t AA n IY
centaurs	s EH n t AO r z
centel's	s EH n t EH l z
centennial's	s EH n t EH n IY AH l z
centerbank	s EH n t ER b AE NG k
centered	s EH n t ER d
centers(2)	s EH n ER z
centigram	s EH n t AH g r AE m
centocor	s EH n t AH k AO r
central	s EH n t r AH l
centralia	s EH n t r EY l IY AH
centralists	s EH n t r AH l IH s t s
centralization	s EH n t r AH l IH z EY SH AH n
centrist	s EH n t r IH s t
cents	s EH n t s
century's	s EH n CH ER IY z
ceraceous	s ER EY SH AH s
ceravolo	CH ER AA v OW l OW
cerda	CH EH r d AH
ceremonial	s EH r AH m OW n IY AH l
cerney	s ER n IY
cernuda's	s ER n UW d AH z
cerrito	CH ER IY t OW
cerro	s EH r OW
cerruti	CH ER UW t IY
cerruti(2)	s ER UW t IY
cerska(2)	s ER s k AH
certain	s ER t AH n
certainly	s ER t AH n l IY
certificates	s ER t IH f IH k AH t s
cerveceria	s ER v AH s IH r IY AH
cervone	CH ER v OW n IY
cesar	s IY z ER
cesario	CH EH s AA r IY OW
cessation	s EH s EY SH AH n
cestaro	CH EH s t AA r OW
cetus	s IY t AH s
cfo	s IY EH f OW
chabon	CH EY b AH n
chabot	SH AH b OW
chachi	CH AA CH IY
chadbourne	SH AH d b UH r n
chadwick's	CH AE d w IH k s
chafe	CH EY f
chafed	CH EY f t
chafee	CH AE f IY
chain	CH EY n
chained	CH EY n d
chains'	CH EY n z
chair	CH EH r
chairman	CH EH r m AH n
chairwomen	CH EH r w IH m EH n
chajet	CH AE JH AH t
chalet(2)	SH AH l EY
chalets	SH AH l EY z
chalets(2)	SH AE l EY z
chalker	CH AO k ER
chalking	CH AO k IH NG
challender	CH AH l EH n d ER
challenger	CH AE l AH n JH ER
challengery	CH AE l AH n JH ER IY
chaloux	SH AH l UW
chalsty	CH AE l s t IY
chalupa	CH AH l UW p AH
chambered	CH EY m b ER d
chamberlin	CH EY m b ER l IH n
chamblin	CH AE m b l IH n
chameleon	k AH m IY l IY AH n
chamomile(2)	k AE m AH m IY l
champion	CH AE m p IY AH n
champney	CH AE m p n IY
chana	CH AE n AH
chance	CH AE n s
chancellors	CH AE n s AH l ER z
chandler	CH AE n d l ER
chandra	CH AE n d r AH
chandrika(2)	SH AA n d r IY k AH
chang-ming	CH AA NG m IH NG
change	CH EY n JH
changes(2)	CH EY n JH IH z
channing	CH AE n IH NG
chanson	SH AA n s AO n
chant	CH AE n t
chantal	CH AE n t AH l
chanted	CH AE n t IH d
chanting	CH AE n t IH NG
chanukah	h AA n AH k AH
chaotic	k EY AA t IH k
chaplin	CH AE p l AH n
chapnick	CH AE p n IH k
chappaquiddick	CH AE p AH k w IH d IH k
character	k EH r IH k t ER
charade	SH ER EY d
charbonnet(2)	SH AA r b AH n EY
charcuterie	SH AA r k UH t r IY
charen	CH AA r AH n
charest	SH AA r EH s t
charge	CH AA r JH
chargeback	CH AA r JH b AE k
chargers	CH AA r JH ER z
charging	CH AA r JH IH NG
chargois	SH AA r g w AA
chariot	CH EH r IY AH t
charisma	k ER IH z m AH
charismatics	k EH r IH z m AE t IH k s
charita	k AA r IY t AH
charlatan	SH AA r l AH t AH n
charle	CH AA r l
charlebois	SH AA r l IH b w AA
charlemagne	SH AA r l AH m EY n
charlene	SH AA r l IY n
charles(2)	CH AA r AH l z
charlestown(2)	CH AA r AH l s t AW n
charlie's	CH AA r l IY z
charlottesville	SH AA r l AH t s v IH l
charming	CH AA r m IH NG
charnley	CH AA r n l IY
charrier	CH AE r IY ER
charring	CH AA r IH NG
charterhouse	CH AA r t ER h AW s
chartres	CH AA r t r IY z
chas	CH AA z
chasten	CH EY s AH n
chastity	CH AE s t AH t IY
chasuble	CH AA s UW b AH l
chat	CH AE t
chatichai's	CH AE t IH k AY z
chatihachi	CH AE t IH h AA CH IY
chatroom	CH AE t r UW m
chatswood	CH AE t s w UH d
chatterjee	CH AH t ER JH IY
chatterton	CH AE t ER t AH n
chattin	CH AE t IH n
chatting	CH AE t IH NG
chatwal	CH AE t w AO l
chatwin	CH AE t w IH n
chau	SH OW
chaumet	CH AO m IH t
chauvin	SH OW v AE n
chavez(2)	CH AE v EH z
chavez(3)	SH AH v EH z
chazanoff	CH AE z AH n AO f
chazen	CH EY z AH n
chea	CH IY
cheap	CH IY p
cheapened	CH IY p AH n d
cheapens	CH IY p AH n z
cheaply	CH IY p l IY
cheaters	CH IY t ER z
checchi	CH EH k IY
chechens	CH EH CH IH n z
chechnya's	CH EH CH n IY AH z
chechnyans	CH EH CH n IY AH n z
checked	CH EH k t
checking	CH EH k IH NG
checkmates	CH EH k m EY t s
checkoff	CH EH k AO f
checkup	CH EH k AH p
cheddars	CH EH d ER z
chedester	CH EH d IH s t ER
cheerful	CH IH r f AH l
cheerfully	CH IH r f AH l IY
cheerfulness	CH IH r f AH l n AH s
cheerios	CH IH r IY OW s
cheery	CH IH r IY
cheesecake	CH IY z k EY k
cheeseman	CH IY z m AH n
cheesiest	CH IY z IY IH s t
cheesy	CH IY z IY
chef's	SH EH f s
cheil	CH AY l
cheimi	CH EY m IY
chekhov's	CH EH k AA v z
chelsea	CH EH l s IY
chemdesign	CH EH m d AH z AY n
chemed	k EH m EH d
chemistry(2)	k EH m IH s t r IY
chemists	k EH m AH s t s
chemists(2)	k EH m IH s t s
chengxiang	CH EH NG SH j AA NG
chenier	CH EH n j ER
chenoweth	CH EH n AH w EH TH
cheque	CH EH k
cherne	CH ER n
cherokee's	CH EH r AH k IY z
cherries	CH EH r IY z
cherrington	CH EH r IH NG t AH n
cherry	CH EH r IY
chertoff	CH ER t AA f
chervenak	CH ER v IH n AE k
cheryl	SH EH r AH l
chesbro	k EH s b r OW
chesler(2)	CH EH s l ER
chesley	CH EH s l IY
chessboard	CH EH s b AO r d
chesshir	SH IH SH ER
chesterman	CH EH s t ER m AH n
chesterson	CH EH s t ER s AH n
chestnutt	CH EH s t n AH t
chevette	SH AH v EH t
chew	CH UW
chews	CH UW z
cheyenne	SH AY EH n
chez	SH EY
chianese	k IY AA n EY z IY
chiarella	k IY AA r EH l AH
chiarnim	k IY AA r n IH m
chiba	CH IY b AH
chicanos	CH IH k AA n OW z
chicken's	CH IH k AH n z
chickened	CH IH k AH n d
chickening	CH IH k AH n IH NG
chickens'	CH IH k AH n z
chided	CH AY d IH d
chides	CH AY d z
chideya(2)	CH IH d EY j AH
chiding	CH AY d IH NG
chiefly	CH IY f l IY
chieftain	CH IY f t AH n
chiesa	k IY s AH
chihuahua(2)	CH IY w AA w AH
chilcote	CH IH l k OW t
child's	CH AY l d z
childbearing	CH AY l d b EH r IH NG
childener	CH IH l d n ER
childish	CH AY l d IH SH
chile	CH IH l IY
chilled	CH IH l d
chilmark	CH IH l m AA r k
chimerine	CH IH m ER IY n
chimpanzee	CH IH m p AE n z IY
chimpanzees	CH IH m p AE n z IY z
chinatown	CH AY n AH t AW n
chink	CH IH NG k
chinks	CH IH NG k s
chinn	CH IH n
chinnici	k IY n IY CH IY
chino	CH IY n OW
chinook(2)	CH IH n UH k
chip-in	CH IH p IH n
chipello	CH IH p EH l OW
chipita	CH AH p IY t AA
chipmakers	CH IH p m EY k ER z
chipmunk	CH IH p m AH NG k
chipmunks	CH IH p m AH NG k s
chipper	CH IH p ER
chippewa	CH IH p AH w AA
chiron	CH AY r AH n
chirp	CH ER p
chit	CH IH t
chitlin	CH IH t l IH n
chitrao	CH IH t r AW
chitter	CH IH t ER
chivas(2)	SH IY v AH s
chizek	CH IH z EH k
chlebowski	CH l IH b AO f s k IY
chlorinate	k l AO r AH n EY t
chloris	k l AO r IH s
choe	CH OW
choi	CH OY
choicers	CH OY s ER z
choirs	k w AY r z
chojnacki	CH AH j n AA t s k IY
choking	CH OW k IH NG
cholesterol	k AH l EH s t ER AO l
chongqing	CH AO NG k IH NG
choon	CH UW n
choose	CH UW z
chop-chop	CH AA p CH AA p
chopra	CH AA p r AH
chopstick	CH AA p s t IH k
choral	k AO r AH l
chorals	k AO r AH l z
chore	CH AO r
choreographers	k AO r IY AA g r AH f ER z
choreographing	k AO r IY AA g r AH f IH NG
chores	CH AO r z
chorney	CH AO r n IY
chosen	CH OW z AH n
chou	CH UW
chretien	k r IH t j EH n
chriboniko(2)	CH r IH b AH n IY k OW
chriptosporidium	k r IH p t OW s p AO r IH d IY AH m
chrismer	k ER IH z AH m ER
chrissy	k r IH s IY
christ's	k r AY s t s
christabelle	k r IH s t AH b EH l
christchurch	k r AY s t CH ER CH
christel	k r IH s t AH l
christenbury	k r IH s AH n b EH r IY
christensen	k r IH s t AH n s AH n
christeson	k r IH s t IH s AH n
christiansted	k r IH s CH AH n s t EH d
christie	k r IH s t IY
christoffel	k r IH s t AH f EH l
christophe	k r IH s t AO f
christopoulos	k r IH s t AA p AH l IH s
christy	k r IH s t IY
chrobak	k r OW b AH k
chrominance	k r OW m AH n AH n s
chromosome	k r OW m AH s OW m
chromosome(2)	k r OW m AH z OW m
chronically	k r AA n IH k AH l IY
chronicle's	k r AA n IH k AH l z
chronicles	k r AA n IH k AH l z
chronological	k r AA n AH l AA JH IH k AH l
chronologies	k r AH n AA l AH JH IY z
chrusciel	k r AH s IY l
chrystal	k r IH s t AH l
chrzanowski	CH ER z AH n AO f s k IY
chua	k UW AH
chuah	CH UW AA
chubb	CH AH b
chubu	CH UW b UW
chuck	CH AH k
chuck-a-luck	CH AH k AH l AH k
chuckle	CH AH k AH l
chui	k UW IH
chujitsuya	CH UW JH IY t s UW j AA
chumley	CH AH m l IY
chung	CH AH NG
churchgoer	CH ER CH g OW ER
churchman	CH ER CH m AH n
churchmen	CH ER CH m AH n
churkin	CH ER k AH n
churning	CH ER n IH NG
chustz	CH AH s t s
chute	SH UW t
chutney	CH AH t n IY
chutzpah	CH AH t s p AA
chutzpah(2)	h UH t s p AA
ciaccia	CH IY AH CH IY AH
cialis	s IY AA l AH s
cianciulli	CH AO n CH UW l IY
ciao	CH AW
cibula	CH IY b UW l AA
cichon	s IH CH AH n
cichowski	CH IH h AO f s k IY
cicippio	s IH s IH p IY OW
cieslewicz	CH EH s l IH v IH CH
cifra	s IH f r AA
ciller	s IH l ER
cimini	CH IY m IY n IY
cimino	CH IY m IY n OW
cimmino	CH IY m IY n OW
cimo	CH IY m OW
cinch	s IH n CH
cinched	s IH n CH t
cincinnati	s IH n s AH n AE t IY
cinergy	s IH n ER JH IY
ciocca	CH OW k AH
ciolino	CH OW l IY n OW
circling(2)	s ER k l IH NG
circuit	s ER k AH t
circuit's	s ER k AH t s
circularly	s ER k j AH l ER l IY
circulars	s ER k j AH l ER z
circumvene	s ER k AH m v IY n
circumventing	s ER k AH m v EH n t IH NG
cirigliano	s ER IY g l IY AA n OW
cirino	s ER IY n OW
cirrus	s IH r AH s
cissell	s IH s AH l
cissna	s IH s n AH
cite	s AY t
cited(2)	s AY t IH d
citi	s IH t IY
citicorp's	s IH t IY k AO r p s
citizen's	s IH t AH z AH n z
citizenry's	s IH t IH z AH n r IY z
citizens(2)	s IH t IH z AH n z
citrano	CH IY t r AA n OW
citron's	s IH t r AH n z
citrucel	s IH t r AH s EH l
citrus	s IH t r AH s
citywide	s IH t IY w AY d
civil	s IH v AH l
civilize	s IH v AH l AY z
cizik	s IY z IH k
claar	k l AA r
clabaugh	k l AE b AO
clackamas	k l AE k AH m AH s
clad	k l AE d
cladification	k l AE d AH f AH k EY SH AH n
clagg	k l AE g
claimants'	k l EY m AH n t s
claiming	k l EY m IH NG
clairson	k l EH r s AH n
clairvoyant	k l EH r v OY AH n t
clam	k l AE m
clammy	k l AE m IY
clampdown	k l AE m p d AW n
clancey	k l AE n s IY
clancy's	k l AE n s IY z
clapman	k l AE p m AH n
clapped	k l AE p t
claps	k l AE p s
clapsaddle	k l AE p s AE d AH l
claren	k l AE r AH n
clarence	k l EH r AH n s
clarette	k l ER EH t
clarice	k l ER IY s
clarified	k l EH r AH f AY d
clarimond	k l AE r IH m AH n d
clarinetists	k l EH r AH n EH t IH s t s
clarity	k l EH r AH t IY
clarkston	k l AA r k s t AH n
clarksville	k l AA r k s v IH l
clarostat	k l EH r AH s t AE t
clashed	k l AE SH t
class	k l AE s
classaction	k l AE s AE k SH AH n
classed	k l AE s t
classes	k l AE s AH z
classify	k l AE s AH f AY
classmate	k l AE s m EY t
classon	k l AE s AH n
clattering	k l AE t ER IH NG
claudius	k l AO d IY AH s
claussen	k l AO z s AH n
clawed	k l AO d
claxton	k l AE k s t AH n
claybaugh	k l EY b AO
clayburn	k l EY b ER n
clays	k l EY z
clayton's	k l EY t AH n z
cleaned	k l IY n d
cleanse	k l EH n z
cleanser	k l EH n z ER
cleanup	k l IY n AH p
clearance	k l IH r AH n s
cleared	k l IH r d
clearly	k l IH r l IY
clears	k l IH r z
cleave	k l IY v
cleaves	k l IY v z
clematis	k l EH m AH t IH s
clemence	k l EH m AH n s
clement	k l EH m AH n t
clemente's	k l AH m EH n t EY z
clements	k l EH m AH n t s
clemmy	k l EH m IY
clemo	k l EY m OW
clemson	k l EH m s AH n
clenches	k l EH n CH AH z
clenney	k l EH n IY
clerical	k l EH r AH k AH l
clermont	k l EH r m AA n t
clevelander	k l IY v l AH n d ER
clevelanders	k l IY v l AH n d ER z
clevenger	k l EH v IH n JH ER
clevite	k l AH v AY t
clevite's	k l AH v AY t s
clewis	k l UW IH s
cliantha	k l IY AE n TH AH
clickbait	k l IH k b EY t
clicked	k l IH k t
clicking	k l IH k IH NG
client's	k l AY AH n t s
clients	k l AY AH n t s
clients'	k l AY AH n t s
clifford's	k l IH f ER d z
cliggott	k l IH g AH t
clim	k l IH m
climaco	k l IH m AH k OW
climates	k l AY m AH t s
climatologists(3)	k l IH m AH t AA l AH JH IH s
climaxes	k l IH m AE k s IH z
climaxes(2)	k l AY m AE k s IH z
climber	k l AY m ER
climbing	k l AY m IH NG
clinard	k l IH n ER d
clines's	k l AY n z IH z
clingan	k l IH NG g AH n
clings	k l IH NG z
clinique	k l AH n IY k
clintonomics	k l IH n t AH n AA m IH k s
clip	k l IH p
clippings	k l IH p IH NG z
cliques	k l IH k s
clites	k l AY t s
clive	k l AY v
clo	s IY EH l OW
cloaked	k l OW k t
clobbered	k l AA b ER d
clocker	k l AA k ER
clocking	k l AA k IH NG
clockwise	k l AA k w AY z
clodfelter	k l AA d f EH l t ER
cloer	k l OW ER
cloey	k l OW IY
clogs	k l AA g z
cloistered	k l OY s t ER d
cloonan	k l UW n AH n
clootie	k l UW t IY
closedown	k l OW z d AW n
closeness	k l OW s n IH s
closet	k l AA z AH t
closeted	k l AA z AH t IH d
closeup	k l OW s AH p
closs	k l AO s
closson	k l AA s AH n
closures	k l OW ZH ER z
clouded	k l AW d IH d
clouding	k l AW d IH NG
clouthier	k l AW TH IY ER
clow	k l OW
clown	k l AW n
clowning	k l AW n IH NG
clubbing	k l AH b IH NG
cluck	k l AH k
clue	k l UW
clued	k l UW d
clukey	k l UW k IY
clunkers	k l AH NG k ER z
clyne	k l AY n
clyte	k l AY t
co-leader	k OW l IY d ER
co-wife	k OW w AY f
co-worker	k OW w ER k ER
coach's	k OW CH IH z
coakley	k OW k l IY
coastal's	k OW s t AH l z
coastamerica's	k OW s t AH m EH r IH k AH z
coasters	k OW s t ER z
coasts	k OW s t s
coat's	k OW t s
coatesville	k OW t s v IH l
coattail	k OW t t EY l
coauthored	k OW AA TH ER d
coauthoring	k OW AA TH ER IH NG
coaxes	k OW k s IH z
coaxum	k OW k s AH m
cob	k AA b
cobaugh	k AA b AO
cobbled	k AA b AH l d
coben	k OW b AH n
cobey	k OW b IY
cobler	k OW b AH l ER
coby	k OW b IY
cocanougher	k AA k AH n AH f ER
coccus	k AA k AH s
cochairman	k OW CH EH r m AH n
cochlear	k AA k l IY ER
cockamamie	k AO k AH m EY m IY
cockatoos	k AA k AH t UW z
cockerill	k AA k ER IH l
cockman	k AA k m AH n
cockroft	k AA k r AH f t
coco	k OW k OW
codding	k AA d IH NG
code	k OW d
code's	k OW d z
coded	k OW d IH d
coder	k OW d ER
codes	k OW d z
codifies	k OW d AH f AY z
coe	k OW
coello	k OW EH l OW
coenen	k OW IY n AH n
coexisted	k OW AH g z IH s t AH d
coffee's	k AA f IY z
coffer	k AO f ER
coffers	k AA f ER z
coffey	k AA f IY
coffield	k AA f IY l d
cofield	k OW f IY l d
cogan	k OW g AH n
cogar	k OW g ER
cogburn	k AA g b ER n
cogdell	k AA g d AH l
cogenerator	k OW JH EH n ER EY t ER
cogenerators	k OW JH EH n ER EY t ER z
coger	k OW JH ER
coggins	k AA g IH n z
coghill	k AA g h IH l
cognac(2)	k AA n j AE k
cognitive	k AA g n IH t IH v
cogswell	k AA g s w EH l
cohabit	k OW h AE b IH t
cohee	k AA h IY
coherently	k OW h IY r AH n t l IY
cohesion	k OW h IY ZH AH n
cohn	k OW n
cohr	k AO r
coiled	k OY l d
coin	k OY n
coin's	k OY n z
coinciding	k OW AH n s AY d IH NG
coinsurance	k OW IH n SH ER AH n s
coit	k OY t
cojimar	k OW JH IH m AA r
coke's	k OW k s
coking	k OW k IH NG
colaizzi	k OW l EY z IY
colangelo	k OW l AA NG g EH l OW
colantonio	k OW l AA n t OW n IY OW
colarusso	k OW l AA r UW s OW
colas	k OW l AH s
colasanti	k OW l AH s AE n t IY
colberg	k AA l b ER g
colborn	k OW l b AO r n
colclough	k OW l k l AW
cold-bay	k OW l d b EY
coldiron	k OW l d ER AA n
colebank	k OW l b AE NG k
colebreath	k OW l b r EH TH
colee	k OW l IY
coleson(2)	k OW l s AH n
colford	k OW l f ER d
colgan	k OW l g AH n
colgate's	k OW l g EY t s
colglazier	k OW l g l AH z IY ER
colina	k OW l IY n AH
coline	k OW l IY n IY
collage	k AH l AA ZH
collagen	k AA l AH g AH n
collapse	k AH l AE p s
collapsed	k AH l AE p s t
collapsing	k AH l AE p s IH NG
colleague's	k AA l IY g z
collect	k AH l EH k t
collectibility	k AH l EH k t IH b IH l IH t IY
collection	k AH l EH k SH AH n
collections	k AH l EH k SH AH n z
collector's	k AH l EH k t ER z
colledge	k AA l IH JH
college	k AA l IH JH
coller	k AA l ER
colletta	k OW l EH t AH
collick	k AA l IH k
collide	k AH l AY d
collider	k AH l AY d ER
colliding	k AH l AY d IH NG
colligan	k AA l IH g AE n
colling	k AA l IH NG
collins's	k AA l IH n z IH z
collisions	k AH l IH ZH AH n z
collister	k AA l IH s t ER
colloquy	k AA l AH k w IY
colodny	k AH l AA d n IY
cologne	k AH l OW n
colombari	k AA l AA m b AA r IY
colombe	k OW l OW m b IY
colonel	k ER n AH l
colonel's	k ER n AH l z
colonels	k ER n AH l z
colonialists	k AH l OW n IY AH l IH s t s
colonials	k AH l OW n IY AH l z
colonized	k AA l AH n AY z d
colony	k AA l AH n IY
coloratura	k AH l ER AH t UH r AH
coloreds	k AA l ER AH d z
colorfully	k AH l ER f l IY
coloristic	k AH l ER IH s t IH k
colosio	k AH l OW s IY OW
colossally	k AH l AA s AH l IY
colossus	k AH l AA s AH s
colours	k AH l ER z
colt	k OW l t
coltie	k OW l t IY
coltrane	k OW l t r AH n
coltrane's(2)	k OW l t r EY n z
colts	k OW l t s
coluccio	k OW l UW CH IY OW
columbia	k AH l AH m b IY AH
columbus	k AH l AH m b AH s
columns	k AA l AH m z
colussy	k AH l UW s IY
colver	k OW l v ER
colvin	k OW l v IH n
com's	k AA m z
coma	k OW m AH
comanche	k AH m AE n CH IY
comandantes	k OW m AH n d AA n t EH z
comb	k OW m
combat	k AA m b AE t
combatant	k AH m b AE t AH n t
combatants	k AH m b AE t AH n t s
combative	k AH m b AE t IH v
combats	k AH m b AE t s
combest	k OW m IH s t
combo	k AA m b OW
comby	k AA m b IY
comcast's	k AA m k AE s t s
come-on	k AH m AA n
comecon	k AA m AH k AA n
comedic	k AH m IY d IH k
comedown	k AH m d AW n
comegys	k AA m IH JH IY z
comets	k AA m AH t s
comfinance	k AA m f IH n AH n s
comfortable	k AH m f ER t AH b AH l
comfortably	k AH m f ER t AH b l IY
comfy	k AH m f IY
comiskey	k OW m IH s k IY
comity	k OW m IH t IY
comm	k AA m
comma	k AA m AH
commack	k AA m AH k
commanders	k AH m AE n d ER z
commandment	k AH m AE n d m AH n t
commando	k AH m AE n d OW
commandos	k AH m AE n d OW z
commands	k AH m AE n d z
commemorate	k AH m EH m ER EY t
commenced	k AH m EH n s t
commending	k AH m EH n d IH NG
commensurately	k AH m EH n s ER AH t l IY
commented	k AA m EH n t AH d
commercialism	k AH m ER SH AH l IH z AH m
commercialization	k AH m ER SH AH l IH z EY SH AH n
commerford	k AA m ER f ER d
commingle(2)	k OW m IH NG g AH l
commingled	k AA m IH NG g AH l d
commingling	k AA m IH NG g AH l IH NG
commins	k AA m IH n z
commiserate	k AH m IH s ER EY t
commision	k AH m IH z AH n
commissioned	k AH m IH SH AH n d
commissioner	k AH m IH SH AH n ER
commitee	k AA m IH t IY
commitments	k AH m IH t m AH n t s
commits	k AH m IH t s
committal	k AH m IH t AH l
committee's	k AH m IH t IY z
committees'	k AH m IH t IY z
commode	k AH m OW d
commodious	k AH m OW d IY AH s
commodity's	k AH m AA d AH t IY z
commonality	k AA m AH n AE l AH t IY
commonly	k AA m AH n l IY
commonsense	k AA m AH n s EH n s
commotion	k AH m OW SH AH n
communes	k AA m j UW n z
communes(2)	k AH m j UW n z
communications'	k AH m j UW n AH k EY SH AH n z
commutate	k AA m j AH t EY t
commutation	k AA m j AH t EY SH AH n
commute	k AH m j UW t
compact(2)	k AH m p AE k t
compagnie	k AH m p AH n IY
companero	k AA m p AH n j EH r OW
companies	k AH m p AH n IY z
compaq's	k AA m p AE k s
comparing	k AH m p EH r IH NG
compartments	k AH m p AA r t m AH n t s
compatriot	k AH m p EY t r IY AH t
compeau	k AH m p OW
compel	k AH m p EH l
compensated	k AA m p AH n s EY t AH d
competency	k AA m p AH t IH n s IY
competing	k AH m p IY t IH NG
competition	k AA m p AH t IH SH AH n
competitive(2)	k AH m p EH t IH t IH v
competitiveness	k AH m p EH t IH t IH v n IH s
competitors'	k AH m p EH t IH t ER z
competitors(2)	k AH m p EH t IH t ER z
compher	k AA m f ER
complainant	k AH m p l EY n AH n t
completes	k AH m p l IY t s
completing	k AH m p l IY t IH NG
complex(2)	k AH m p l EH k s
compliant	k AH m p l AY AH n t
complicate	k AA m p l AH k EY t
complimenting	k AA m p l AH m EH n t IH NG
compliments	k AA m p l AH m EH n t s
comply	k AH m p l AY
compo	k AA m p OW
comported	k AH m p AO r t AH d
composer	k AH m p OW z ER
composers	k AH m p OW z ER z
composites	k AH m p AA z AH t s
composts	k AA m p OW s t s
composure	k AH m p OW ZH ER
compounded	k AH m p AW n d AH d
compounded(2)	k AH m p AW n d IH d
compounding	k AH m p AW n d IH NG
compounds	k AA m p AW n d z
compounds(2)	k AH m p AW n d z
comprehensible	k AA m p r IY h EH n s AH b AH l
compresses	k AA m p r EH s AH z
comprising	k AH m p r AY z IH NG
comptroller	k AH m t r OW l ER
compu	k AA m p j UW
compulsions	k AH m p UH l SH AH n z
compunction	k AH m p AH NG k SH AH n
compusa's	k AA m p j UW EH s EY z
computational	k AA m p j UW t EY SH AH n AH l
computerland's	k AH m p j UW t ER l AE n d z
coms	k AA m z
comsat	k AA m s AE t
comsat's	k AA m s AE t s
comstock	k AA m s t AA k
cona	k OW n AH
conagra	k AA n AE g r AH
conahan	k AA n AH h AE n
conair	k AA n EH r
conaty	k AA n AH t IY
